id,title,category,description
12,Convolutional Neural Networks,Computer Vision,"CNNs are neural network architectures specialized for processing grid-structured data like images. They use convolutional layers that apply learnable filters across the input detecting features like edges textures and shapes in a spatially invariant manner. Key components include convolutional layers for feature extraction pooling layers for dimensionality reduction and fully connected layers for classification. Architectures like AlexNet VGG ResNet and EfficientNet have progressively improved image recognition performance. CNNs excel at image classification object detection and segmentation tasks. While Vision Transformers have challenged CNN dominance CNNs remain widely used due to their efficiency and strong inductive biases for visual data."
13,Diffusion Models,Generative AI,"Diffusion models are generative models that learn to reverse a gradual noising process starting from pure noise and iteratively denoising to generate high-quality data. The forward process adds Gaussian noise to data over many timesteps while the reverse process trains a neural network typically a U-Net to predict and remove noise at each step. Models like DALL-E 2 Stable Diffusion and Midjourney use this technique combined with text conditioning. Diffusion models have achieved state-of-the-art results in image audio and video generation surpassing GANs in quality and training stability. The score-based formulation and DDPM framework formalized the theoretical foundations of this approach."
14,Generative Adversarial Networks,Generative AI,"GANs consist of two neural networks trained adversarially: a generator that creates synthetic data and a discriminator that distinguishes real from generated samples. Through this competition the generator learns to produce increasingly realistic outputs. Introduced by Ian Goodfellow in 2014 GANs revolutionized image synthesis. Variants include conditional GANs for class-conditioned generation StyleGAN for photorealistic faces CycleGAN for unpaired image-to-image translation and BigGAN for high-resolution synthesis. Challenges include training instability mode collapse generating limited variety and evaluation difficulty. While diffusion models have largely surpassed GANs for image quality GANs remain valuable for fast inference and specific applications."
15,Transfer Learning,Training Methods,"Transfer learning leverages knowledge gained from training on one task to improve performance on a different but related task. In deep learning this typically means initializing a model with weights pre-trained on a large dataset like ImageNet or Wikipedia and adapting it to a specific task with limited data. The intuition is that early layers learn general features like edges textures and grammar patterns that transfer across domains while later layers specialize. Transfer learning dramatically reduces the data and compute needed for new tasks. The success of foundation models which are large models pre-trained on massive datasets represents the ultimate expression of transfer learning enabling thousands of downstream applications."
16,Prompt Engineering,LLM Applications,"Prompt engineering is the practice of designing and optimizing input prompts to effectively guide large language model behavior. Since LLMs are sensitive to how questions are phrased well-crafted prompts significantly improve response quality accuracy and relevance. Techniques include few-shot prompting providing examples chain-of-thought prompting encouraging step-by-step reasoning role prompting assigning a persona and structured output prompting requesting specific formats. Advanced techniques like ReAct combine reasoning and action steps while tree-of-thought explores multiple reasoning branches. Prompt engineering is particularly important for zero-shot applications and systems where fine-tuning is not feasible."
17,Chain-of-Thought Prompting,LLM Applications,"Chain-of-thought CoT prompting is a technique that encourages large language models to break down complex problems into intermediate reasoning steps before providing a final answer. By including examples that show step-by-step reasoning few-shot CoT or simply appending Let us think step by step zero-shot CoT models demonstrate significantly improved performance on arithmetic commonsense reasoning and symbolic reasoning tasks. The technique works because it forces the model to allocate more computation to difficult problems and makes the reasoning process explicit and correctable. CoT is foundational for complex multi-step reasoning and has led to techniques like self-consistency which samples multiple reasoning paths."
18,Hallucination in LLMs,LLM Challenges,"Hallucination refers to the tendency of large language models to generate plausible-sounding but factually incorrect or fabricated information. This occurs because LLMs are trained to produce coherent fluent text rather than verified facts and may fill gaps in knowledge with confabulation. Hallucinations range from factual errors to completely fabricated citations events or people. Mitigation strategies include RAG grounding responses in retrieved documents fine-tuning on factual data RLHF to penalize false statements uncertainty estimation and post-hoc verification. Hallucination remains a critical challenge for deploying LLMs in high-stakes domains like medicine law and finance where factual accuracy is paramount."
19,Tokenization,NLP,"Tokenization is the process of converting raw text into discrete units called tokens that language models can process. Modern LLMs typically use subword tokenization algorithms like Byte-Pair Encoding BPE WordPiece or SentencePiece which balance vocabulary size with representation efficiency by splitting rare words into common subwords. The choice of tokenizer significantly affects model behavior: it determines how many tokens a text requires affecting cost and context length how the model handles rare words and multiple languages and how numbers and special characters are processed. Understanding tokenization is essential for prompt design cost optimization and debugging unexpected model behavior."
20,Knowledge Distillation,Training Methods,"Knowledge distillation is a model compression technique where a smaller student model is trained to mimic the behavior of a larger more capable teacher model. Instead of training only on hard labels the student learns from the teachers soft probability distributions called dark knowledge which contain richer information about relationships between classes. This technique enables deploying capable models on resource-constrained devices. Applications include DistilBERT a 40 percent smaller BERT TinyLLaMA and Phi models. Distillation can be applied to intermediate representations feature distillation or final outputs. It is particularly valuable as a way to make frontier AI capabilities accessible without the computational cost of running large models."
21,Neural Architecture Search,Training Methods,"NAS automates the design of neural network architectures using optimization algorithms replacing manual architecture engineering. Methods include reinforcement learning based search training a controller to generate architectures evolutionary algorithms and differentiable architecture search DARTS. NAS has discovered architectures like EfficientNet and MobileNet that outperform human-designed networks while using fewer parameters. Key challenges include the enormous search space and high computational cost of evaluating candidate architectures. One-shot NAS methods use weight sharing to amortize training cost. While NAS is powerful the architectures it discovers can be difficult to interpret and the search process itself requires significant compute resources."
22,Constitutional AI,Alignment,"Constitutional AI is a technique developed by Anthropic to train AI systems to be helpful harmless and honest using a set of explicit principles. The method involves two phases: supervised learning where a model critiques and revises its own responses according to constitutional principles and reinforcement learning from AI feedback RLAIF where the model evaluates pairs of responses against the constitution rather than relying solely on human feedback. Constitutional AI reduces the need for human annotation of harmful content while improving the consistency of safety training. It provides a transparent auditable framework for encoding values into AI systems addressing concerns about arbitrary or inconsistent safety guidelines."
23,Multimodal AI,Deep Learning,"Multimodal AI systems can process and generate information across multiple modalities including text images audio video and structured data within a single model. This contrasts with unimodal models specialized for one data type. Examples include GPT-4V for vision-language understanding DALL-E for text-to-image generation Gemini for text image audio and video and Whisper for speech-to-text. Multimodal models use architectures that align representations across modalities often using contrastive learning like CLIP cross-attention mechanisms or unified token vocabularies. The ability to understand relationships between modalities enables powerful applications like visual question answering image captioning and video analysis."
24,Mixture of Experts,Architecture,"Mixture of Experts is a neural network architecture where the model consists of multiple specialized sub-networks called experts and a routing mechanism that selects a subset of experts for each input token. Rather than activating all parameters for every computation MoE sparsely activates only a few experts per token enabling models to have large parameter counts without proportionally increasing compute requirements. Models like Mixtral and Switch Transformer use MoE architectures. The routing mechanism called the gating network learns to direct tokens to the most relevant experts. Challenges include load balancing preventing some experts from being overused training instability and communication overhead in distributed settings."
25,Reinforcement Learning,Machine Learning,"Reinforcement learning RL is a machine learning paradigm where an agent learns to make sequential decisions by interacting with an environment to maximize cumulative reward. Unlike supervised learning RL learns from trial and error without labeled examples. Key components include the agent as decision-maker the environment state as current situation action as choices available reward as feedback signal and policy as strategy. Algorithms include Q-learning SARSA policy gradient methods and actor-critic methods. Deep RL combines neural networks with RL enabling agents to handle high-dimensional inputs. Notable achievements include AlphaGo defeating world Go champions Atari game mastery and robotic control. RL is also foundational to RLHF for training language models."
